episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
97,1,-0.175,0,B,1,17,0.0,stuck,50,451.2,15235
98,300,-56.064,0,B,17,25,0.0,,50,464.5,15535
99,1,-0.197,0,B,25,10,0.0,stuck,51,464.6,15536
100,300,-59.927,0,B,10,10,0.0,,51,477.2,15836
101,300,-39.477,0,B,10,11,0.0,,51,489.7,16136
102,4,-0.438,0,B,11,8,0.0,stuck,52,489.8,16140
103,300,-54.418,0,B,8,8,0.0,,52,502.5,16440
104,1,-0.208,0,B,8,9,0.0,stuck,53,502.5,16441
105,300,-46.999,0,B,9,9,0.0,,53,515.2,16741
106,1,-0.165,0,B,9,9,0.0,stuck,54,515.3,16742
107,300,-50.964,0,B,9,9,0.0,,54,528.1,17042
108,1,-0.188,0,B,9,17,0.0,stuck,55,528.1,17043
109,300,-50.844,0,B,17,17,0.0,,55,540.7,17343
110,1,-0.159,0,B,17,18,0.0,stuck,56,540.7,17344
111,300,-46.303,0,B,18,18,0.0,,56,553.5,17644
112,1,-0.156,0,B,18,8,0.0,stuck,57,553.5,17645
113,300,-58.065,0,B,8,8,0.0,,57,566.4,17945
114,1,-0.218,0,B,8,18,0.0,stuck,58,566.4,17946
115,300,-53.55,0,B,18,18,0.0,,58,579.1,18246
116,1,-0.156,0,B,18,18,0.0,stuck,59,579.2,18247
117,300,-47.301,0,B,18,18,0.0,,59,592.0,18547
118,1,-0.157,0,B,18,16,0.0,stuck,60,592.1,18548
119,300,-53.627,0,B,16,16,0.0,,60,604.8,18848
120,1,-0.206,0,B,16,8,0.0,stuck,61,604.9,18849
121,300,-56.391,0,B,8,8,0.0,,61,617.4,19149
122,1,-0.22,0,B,8,17,0.0,stuck,62,617.4,19150
123,300,-53.322,0,B,17,17,0.0,,62,630.0,19450
124,1,-0.187,0,B,17,25,0.0,stuck,63,630.1,19451
125,300,-53.182,0,B,25,25,0.0,,63,642.6,19751
126,1,-0.185,0,B,25,17,0.0,stuck,64,642.6,19752
127,300,-51.526,0,B,17,17,0.0,,64,655.4,20052
128,1,-0.19,0,B,17,8,0.0,stuck,65,655.5,20053
129,300,-55.372,0,B,8,8,0.0,,65,668.3,20353
130,1,-0.213,0,B,8,8,0.0,stuck,66,668.4,20354
131,300,-70.499,0,B,8,8,0.0,,66,681.0,20654
132,1,-0.217,0,B,8,16,0.0,stuck,67,681.0,20655
133,300,-56.409,0,B,16,16,0.0,,67,693.9,20955
