episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-64.049,0,B,0,0.6,300
2,300,-80.647,0,A,0,1.0,600
3,300,-93.395,0,B,0,1.3,900
4,300,-73.044,0,A,0,1.7,1200
5,300,-56.828,0,B,0,2.1,1500
6,300,-53.781,0,A,0,2.4,1800
7,300,-74.557,0,B,0,2.7,2100
8,300,-75.974,0,A,0,3.0,2400
9,300,-78.897,0,B,0,3.2,2700
10,300,-102.106,0,A,0,3.5,3000
11,300,-78.678,0,B,0,3.8,3300
12,300,-60.596,0,A,0,4.1,3600
13,300,-63.34,0,B,0,4.4,3900
14,300,-60.619,0,A,0,4.8,4200
15,300,-64.843,0,B,0,5.2,4500
16,300,-63.083,0,A,0,5.6,4800
17,300,-91.537,0,B,0,10.1,5100
18,300,-89.525,0,A,0,20.8,5400
19,300,-69.378,0,B,0,31.6,5700
20,300,-78.69,0,A,0,42.0,6000
21,300,-55.62,0,B,0,53.1,6300
22,300,-76.323,0,A,0,63.5,6600
23,300,-68.753,0,B,0,74.2,6900
24,300,-74.731,0,A,0,84.8,7200
25,300,-79.78,0,B,0,95.5,7500
26,300,-73.762,0,A,0,106.1,7800
27,300,-68.701,0,B,0,116.8,8100
28,300,-70.585,0,A,0,127.4,8400
29,300,-66.9,0,B,0,138.2,8700
30,300,-56.88,0,A,0,149.3,9000
31,300,-58.199,0,B,0,161.6,9300
32,300,-61.597,0,A,0,172.9,9600
33,300,-61.403,0,B,0,184.0,9900
34,300,-60.609,0,A,0,195.0,10200
35,300,-50.08,0,B,0,206.3,10500
36,300,-52.744,0,A,0,217.4,10800
37,300,-72.669,0,B,0,228.5,11100
38,300,-62.472,0,A,0,239.4,11400
39,300,-55.967,0,B,0,250.6,11700
40,300,-59.615,0,A,0,261.5,12000
41,300,-55.409,0,B,0,272.6,12300
42,300,-55.773,0,A,0,284.2,12600
43,300,-60.156,0,B,0,297.5,12900
44,300,-53.19,0,A,0,311.1,13200
45,300,-56.081,0,B,0,325.9,13500
46,300,-56.557,0,A,0,341.0,13800
47,300,-51.679,0,B,0,356.6,14100
48,300,-53.125,0,A,0,373.2,14400
49,300,-51.938,0,B,0,391.7,14700
50,300,-53.041,0,A,0,406.8,15000
51,300,-62.037,0,B,0,420.6,15300
52,300,-48.441,0,A,0,432.7,15600
53,300,-63.1,0,B,0,444.5,15900
54,300,-52.632,0,A,0,456.5,16200
55,300,-53.148,0,B,0,468.0,16500
56,300,-56.005,0,A,0,480.2,16800
57,300,-49.662,0,B,0,492.3,17100
58,300,-57.407,0,A,0,505.0,17400
59,300,-63.471,0,B,0,517.3,17700
60,300,-46.243,0,A,0,529.1,18000
61,300,-49.621,0,B,0,541.0,18300
62,300,-52.85,0,A,0,552.7,18600
63,300,-55.338,0,B,0,564.5,18900
64,300,-56.254,0,A,0,576.3,19200
65,300,-51.875,0,B,0,588.0,19500
66,300,-51.035,0,A,0,601.1,19800
67,300,-51.984,0,B,0,613.2,20100
68,300,-56.828,0,A,0,624.5,20400
69,300,-45.952,0,B,0,635.9,20700
70,300,-45.261,0,A,0,647.1,21000
71,300,-51.385,0,B,0,659.2,21300
72,300,-53.827,0,A,0,675.0,21600
73,300,-52.044,0,B,0,693.6,21900
74,300,-53.121,0,A,0,707.6,22200
75,300,-49.768,0,B,0,721.3,22500
76,300,-40.195,0,A,0,734.2,22800
77,300,-52.457,0,B,0,747.4,23100
78,300,-56.467,0,A,0,761.3,23400
79,300,-57.288,0,B,0,775.0,23700
80,300,-52.661,0,A,0,789.1,24000
81,300,-46.841,0,B,0,803.0,24300
82,300,-46.926,0,A,0,819.1,24600
83,300,-51.579,0,B,0,834.0,24900
