episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-68.902,0,B,0,0.6,300
2,300,-101.682,0,A,0,1.0,600
3,300,-71.707,0,B,0,1.4,900
4,300,-76.415,0,A,0,1.6,1200
5,300,-85.915,0,B,0,2.0,1500
6,300,-65.236,0,A,0,2.3,1800
7,300,-50.543,0,B,0,2.7,2100
8,300,-96.78,0,A,0,2.9,2400
9,300,-77.059,0,B,0,3.2,2700
10,300,-53.636,0,A,0,3.6,3000
11,300,-54.958,0,B,0,4.0,3300
12,300,-68.83,0,A,0,4.3,3600
13,300,-83.228,0,B,0,4.6,3900
14,300,-95.06,0,A,0,5.0,4200
15,300,-80.293,0,B,0,5.4,4500
16,300,-79.987,0,A,0,5.7,4800
17,300,-78.258,0,B,0,10.2,5100
18,300,-54.66,0,A,0,20.9,5400
19,300,-47.482,0,B,0,32.3,5700
20,300,-73.032,0,A,0,43.3,6000
21,300,-75.898,0,B,0,54.8,6300
22,300,-84.832,0,A,0,66.2,6600
23,300,-66.693,0,B,0,77.3,6900
24,300,-85.557,0,A,0,88.5,7200
25,300,-74.856,0,B,0,100.0,7500
26,300,-72.911,0,A,0,111.4,7800
27,300,-52.008,0,B,0,122.8,8100
28,300,-76.213,0,A,0,134.3,8400
29,300,-57.704,0,B,0,146.0,8700
30,300,-74.256,0,A,0,158.7,9000
31,300,-50.543,0,B,0,170.9,9300
32,300,-52.707,0,A,0,182.6,9600
33,300,-59.761,0,B,0,194.0,9900
34,300,-81.008,0,A,0,205.9,10200
35,300,-71.833,0,B,0,217.7,10500
36,300,-67.437,0,A,0,229.5,10800
37,300,-65.975,0,B,0,241.5,11100
38,300,-61.22,0,A,0,253.4,11400
39,300,-46.57,0,B,0,265.3,11700
40,300,-50.061,0,A,0,276.9,12000
41,300,-51.512,0,B,0,289.4,12300
42,300,-57.475,0,A,0,303.8,12600
43,300,-55.963,0,B,0,318.4,12900
44,300,-60.691,0,A,0,334.8,13200
45,300,-52.878,0,B,0,351.5,13500
46,300,-60.324,0,A,0,367.7,13800
47,300,-52.669,0,B,0,387.2,14100
48,300,-58.845,0,A,0,403.0,14400
49,300,-49.439,0,B,0,417.4,14700
50,300,-62.101,0,A,0,430.6,15000
51,300,-51.393,0,B,0,443.0,15300
52,300,-60.772,0,A,0,455.7,15600
53,300,-58.332,0,B,0,468.4,15900
54,300,-57.915,0,A,0,481.0,16200
55,300,-56.825,0,B,0,494.1,16500
56,300,-59.405,0,A,0,507.3,16800
57,300,-66.306,0,B,0,520.5,17100
58,300,-47.357,0,A,0,533.3,17400
59,300,-45.415,0,B,0,546.1,17700
60,300,-59.605,0,A,0,558.8,18000
61,300,-72.937,0,B,0,571.4,18300
62,300,-58.509,0,A,0,584.1,18600
63,300,-56.073,0,B,0,597.1,18900
64,300,-58.516,0,A,0,610.8,19200
65,300,-58.71,0,B,0,622.9,19500
66,300,-62.641,0,A,0,634.8,19800
67,300,-59.094,0,B,0,646.7,20100
68,300,-45.82,0,A,0,659.5,20400
69,300,-62.731,0,B,0,677.9,20700
70,300,-57.069,0,A,0,698.2,21000
71,300,-59.895,0,B,0,712.6,21300
72,300,-60.905,0,A,0,726.9,21600
73,300,-57.441,0,B,0,740.3,21900
74,300,-39.669,0,A,0,754.9,22200
75,300,-60.599,0,B,0,769.7,22500
76,300,-54.046,0,A,0,784.7,22800
77,300,-66.974,0,B,0,799.6,23100
78,300,-48.002,0,A,0,816.3,23400
79,300,-46.548,0,B,0,832.3,23700
80,300,-62.192,0,A,0,846.4,24000
81,300,-51.174,0,B,0,861.7,24300
82,300,-58.424,0,A,0,876.1,24600
83,300,-58.696,0,B,0,891.5,24900
84,300,-56.384,0,A,0,959.5,25200
85,300,-76.994,0,B,0,970.0,25500
86,300,-66.538,0,A,0,980.4,25800
87,300,-52.933,0,B,0,990.8,26100
88,300,-61.467,0,A,0,1001.0,26400
89,300,-49.213,0,B,0,1011.3,26700
90,300,-54.992,0,A,0,1021.4,27000
91,300,-56.513,0,B,0,1031.4,27300
92,300,-55.265,0,A,0,1041.6,27600
93,300,-52.478,0,B,0,1051.8,27900
94,300,-58.728,0,A,0,1061.9,28200
95,300,-66.942,0,B,0,1072.1,28500
96,300,-62.352,0,A,0,1082.2,28800
97,300,-59.411,0,B,0,1092.3,29100
98,300,-51.181,0,A,0,1102.3,29400
99,300,-51.499,0,B,0,1112.5,29700
100,300,-50.379,0,A,0,1122.6,30000
101,300,-48.397,0,B,0,1133.0,30300
102,300,-57.62,0,A,0,1143.2,30600
103,300,-66.522,0,B,0,1153.4,30900
104,300,-60.711,0,A,0,1163.5,31200
105,300,-54.484,0,B,0,1174.2,31500
106,300,-53.589,0,A,0,1184.4,31800
107,300,-52.355,0,B,0,1194.5,32100
108,300,-54.399,0,A,0,1204.7,32400
109,300,-62.095,0,B,0,1214.8,32700
110,300,-55.189,0,A,0,1225.3,33000
111,300,-45.948,0,B,0,1238.3,33300
112,300,-56.267,0,A,0,1252.9,33600
113,300,-60.727,0,B,0,1265.5,33900
114,300,-56.529,0,A,0,1276.3,34200
115,300,-65.417,0,B,0,1286.7,34500
116,300,-51.18,0,A,0,1297.3,34800
117,300,-61.809,0,B,0,1307.4,35100
118,300,-55.333,0,A,0,1317.4,35400
119,300,-59.247,0,B,0,1327.7,35700
120,300,-58.669,0,A,0,1337.9,36000
121,300,-57.449,0,B,0,1348.2,36300
122,300,-48.302,0,A,0,1358.4,36600
123,300,-65.822,0,B,0,1368.4,36900
124,300,-54.555,0,A,0,1378.6,37200
125,300,-60.693,0,B,0,1388.9,37500
126,300,-49.235,0,A,0,1399.3,37800
127,300,-58.53,0,B,0,1409.5,38100
128,300,-45.897,0,A,0,1419.6,38400
129,300,-48.194,0,B,0,1429.8,38700
130,300,-52.343,0,A,0,1439.9,39000
131,300,-48.382,0,B,0,1450.0,39300
132,300,-52.883,0,A,0,1460.2,39600
133,300,-54.221,0,B,0,1470.5,39900
134,300,-54.126,0,A,0,1480.6,40200
135,300,-60.907,0,B,0,1490.8,40500
136,300,-65.753,0,A,0,1500.9,40800
137,300,-43.875,0,B,0,1511.1,41100
138,300,-54.521,0,A,0,1521.1,41400
139,300,-53.565,0,B,0,1531.4,41700
140,300,-55.437,0,A,0,1541.4,42000
141,300,-48.543,0,B,0,1551.9,42300
142,300,-45.361,0,A,0,1561.9,42600
143,300,-52.137,0,B,0,1572.0,42900
144,300,-50.876,0,A,0,1582.1,43200
145,300,-51.247,0,B,0,1592.5,43500
146,300,-56.862,0,A,0,1603.0,43800
147,300,-58.698,0,B,0,1613.1,44100
148,300,-45.216,0,A,0,1623.2,44400
149,300,-64.12,0,B,0,1633.5,44700
150,300,-52.259,0,A,0,1643.7,45000
151,300,-55.881,0,B,0,1653.8,45300
152,300,-49.84,0,A,0,1663.8,45600
153,300,-65.627,0,B,0,1673.9,45900
154,300,-52.96,0,A,0,1684.0,46200
155,300,-63.183,0,B,0,1694.1,46500
156,243,-19.505,1,A,0,1702.4,46743
157,300,-78.889,0,B,0,1712.8,47043
158,300,-41.662,0,A,0,1722.9,47343
159,300,-74.944,0,B,0,1733.1,47643
160,300,-45.175,0,A,0,1743.3,47943
161,300,-61.881,0,B,0,1753.5,48243
162,300,-64.91,0,A,0,1763.8,48543
163,300,-73.41,0,B,0,1774.0,48843
164,300,-52.238,0,A,0,1784.2,49143
165,300,-65.629,0,B,0,1794.4,49443
166,300,-67.106,0,A,0,1804.6,49743
167,300,-52.309,0,B,0,1865.0,50043
168,300,-53.738,0,A,0,1875.2,50343
169,300,-59.257,0,B,0,1885.4,50643
170,300,-51.525,0,A,0,1895.7,50943
171,300,-61.607,0,B,0,1905.9,51243
172,300,-52.019,0,A,0,1916.0,51543
173,300,-46.609,0,B,0,1926.2,51843
174,300,-50.531,0,A,0,1936.2,52143
175,300,-54.262,0,B,0,1946.5,52443
176,300,-69.723,0,A,0,1956.6,52743
177,300,-61.665,0,B,0,1966.8,53043
178,300,-64.269,0,A,0,1976.9,53343
179,300,-49.658,0,B,0,1987.1,53643
180,300,-62.279,0,A,0,1997.2,53943
181,300,-68.883,0,B,0,2007.3,54243
182,300,-61.678,0,A,0,2017.4,54543
183,300,-58.822,0,B,0,2027.6,54843
184,300,-66.892,0,A,0,2037.7,55143
185,300,-49.637,0,B,0,2048.0,55443
186,300,-51.386,0,A,0,2058.2,55743
187,300,-63.271,0,B,0,2068.7,56043
188,300,-53.982,0,A,0,2078.9,56343
189,300,-45.695,0,B,0,2089.3,56643
190,300,-57.238,0,A,0,2099.4,56943
191,300,-54.54,0,B,0,2109.5,57243
192,300,-41.877,0,A,0,2119.7,57543
193,300,-56.955,0,B,0,2130.0,57843
194,300,-48.106,0,A,0,2140.1,58143
195,300,-71.488,0,B,0,2150.8,58443
196,300,-57.568,0,A,0,2161.6,58743
197,300,-50.279,0,B,0,2171.8,59043
198,300,-59.524,0,A,0,2182.3,59343
199,300,-47.2,0,B,0,2192.6,59643
200,300,-47.834,0,A,0,2202.9,59943
201,300,-64.373,0,B,0,2213.1,60243
202,300,-53.147,0,A,0,2223.4,60543
203,300,-37.966,0,B,0,2233.8,60843
204,300,-53.107,0,A,0,2243.9,61143
205,300,-58.183,0,B,0,2254.2,61443
206,300,-54.567,0,A,0,2264.3,61743
