episode,steps,return,success,target,interventions_total,wallclock_s,global_step
142,300,-52.242,0,A,0,1561.5,42600
143,300,-53.829,0,B,0,1571.6,42900
144,300,-47.267,0,A,0,1581.6,43200
145,300,-57.559,0,B,0,1591.9,43500
146,300,-52.063,0,A,0,1602.2,43800
147,300,-45.961,0,B,0,1612.4,44100
148,300,-53.564,0,A,0,1622.4,44400
149,300,-48.495,0,B,0,1632.7,44700
150,300,-44.633,0,A,0,1642.9,45000
151,300,-55.474,0,B,0,1652.9,45300
152,300,-44.161,0,A,0,1662.9,45600
153,300,-47.929,0,B,0,1673.3,45900
154,300,-47.103,0,A,0,1683.3,46200
155,300,-52.066,0,B,0,1693.3,46500
156,300,-49.903,0,A,0,1703.5,46800
157,300,-53.794,0,B,0,1713.8,47100
158,300,-54.171,0,A,0,1723.8,47400
159,300,-44.918,0,B,0,1734.1,47700
160,300,-60.265,0,A,0,1744.2,48000
161,300,-59.681,0,B,0,1754.3,48300
162,300,-49.219,0,A,0,1764.3,48600
163,300,-55.982,0,B,0,1774.5,48900
164,300,-48.796,0,A,0,1784.6,49200
165,300,-34.56,0,B,0,1794.8,49500
166,300,-50.263,0,A,0,1804.9,49800
167,300,-65.438,0,B,0,1862.1,50100
168,300,-47.767,0,A,0,1871.9,50400
169,300,-62.28,0,B,0,1882.0,50700
170,300,-49.563,0,A,0,1892.4,51000
171,300,-60.039,0,B,0,1902.4,51300
172,300,-55.411,0,A,0,1912.6,51600
173,300,-51.709,0,B,0,1922.6,51900
174,300,-61.527,0,A,0,1932.9,52200
175,300,-67.751,0,B,0,1943.1,52500
176,300,-61.265,0,A,0,1953.3,52800
177,300,-52.596,0,B,0,1963.3,53100
178,300,-46.995,0,A,0,1973.4,53400
179,300,-53.055,0,B,0,1983.6,53700
180,300,-51.77,0,A,0,1993.8,54000
181,300,-50.422,0,B,0,2003.9,54300
182,300,-49.346,0,A,0,2014.1,54600
183,300,-56.051,0,B,0,2024.2,54900
184,300,-59.475,0,A,0,2034.4,55200
185,300,-52.406,0,B,0,2044.7,55500
186,300,-54.138,0,A,0,2054.9,55800
187,300,-48.876,0,B,0,2065.4,56100
188,300,-61.883,0,A,0,2075.5,56400
189,300,-59.465,0,B,0,2085.8,56700
190,300,-61.95,0,A,0,2096.1,57000
191,300,-52.03,0,B,0,2106.2,57300
192,300,-52.481,0,A,0,2116.3,57600
193,300,-47.963,0,B,0,2126.5,57900
194,300,-51.799,0,A,0,2136.7,58200
195,300,-49.127,0,B,0,2146.9,58500
196,300,-54.475,0,A,0,2158.2,58800
197,300,-51.198,0,B,0,2168.2,59100
198,300,-42.352,0,A,0,2178.3,59400
199,300,-53.355,0,B,0,2188.6,59700
200,300,-48.424,0,A,0,2198.5,60000
201,300,-54.268,0,B,0,2208.5,60300
202,300,-54.193,0,A,0,2218.7,60600
203,300,-42.268,0,B,0,2229.1,60900
204,300,-52.114,0,A,0,2239.2,61200
205,300,-48.073,0,B,0,2249.3,61500
206,300,-52.175,0,A,0,2259.5,61800
207,300,-48.095,0,B,0,2269.8,62100
208,300,-40.539,0,A,0,2279.9,62400
209,300,-51.756,0,B,0,2290.1,62700
210,300,-43.514,0,A,0,2300.5,63000
211,300,-53.424,0,B,0,2310.6,63300
212,300,-51.326,0,A,0,2320.5,63600
213,300,-40.898,0,B,0,2330.8,63900
214,300,-49.923,0,A,0,2341.3,64200
215,300,-48.731,0,B,0,2351.7,64500
216,300,-53.019,0,A,0,2361.9,64800
217,300,-52.874,0,B,0,2372.3,65100
218,300,-50.51,0,A,0,2382.5,65400
219,300,-46.313,0,B,0,2392.4,65700
220,300,-42.152,0,A,0,2402.6,66000
221,300,-48.043,0,B,0,2412.7,66300
222,300,-62.805,0,A,0,2423.0,66600
223,300,-44.703,0,B,0,2433.2,66900
224,300,-58.216,0,A,0,2443.3,67200
225,300,-52.619,0,B,0,2454.0,67500
226,300,-58.851,0,A,0,2465.1,67800
227,300,-55.976,0,B,0,2475.4,68100
228,300,-48.794,0,A,0,2485.8,68400
229,300,-53.119,0,B,0,2495.8,68700
230,300,-46.232,0,A,0,2506.1,69000
231,300,-43.685,0,B,0,2516.2,69300
232,300,-48.687,0,A,0,2526.6,69600
233,300,-52.952,0,B,0,2536.7,69900
234,300,-57.57,0,A,0,2546.9,70200
235,300,-44.635,0,B,0,2557.1,70500
236,300,-69.279,0,A,0,2567.3,70800
237,300,-46.977,0,B,0,2577.6,71100
238,300,-72.946,0,A,0,2587.8,71400
239,300,-57.107,0,B,0,2598.0,71700
240,300,-66.872,0,A,0,2608.2,72000
241,300,-48.536,0,B,0,2618.7,72300
242,300,-49.886,0,A,0,2629.0,72600
243,300,-65.395,0,B,0,2639.2,72900
244,300,-51.102,0,A,0,2649.4,73200
245,300,-60.065,0,B,0,2659.8,73500
246,300,-55.146,0,A,0,2670.1,73800
247,300,-50.064,0,B,0,2680.3,74100
248,300,-44.459,0,A,0,2690.5,74400
249,300,-51.213,0,B,0,2700.6,74700
250,300,-57.772,0,A,0,2710.8,75000
251,300,-47.404,0,B,0,2769.0,75300
252,300,-42.05,0,A,0,2779.0,75600
253,300,-50.663,0,B,0,2789.2,75900
254,300,-43.692,0,A,0,2799.4,76200
255,300,-49.046,0,B,0,2809.6,76500
256,300,-47.722,0,A,0,2819.7,76800
257,300,-50.481,0,B,0,2830.0,77100
258,300,-51.034,0,A,0,2840.1,77400
259,300,-58.708,0,B,0,2850.5,77700
260,300,-52.308,0,A,0,2860.7,78000
261,300,-57.315,0,B,0,2871.0,78300
262,300,-58.839,0,A,0,2881.1,78600
263,300,-53.861,0,B,0,2891.4,78900
264,300,-49.93,0,A,0,2901.7,79200
265,300,-47.796,0,B,0,2911.9,79500
266,300,-58.443,0,A,0,2922.3,79800
267,300,-44.009,0,B,0,2932.5,80100
268,300,-48.435,0,A,0,2942.6,80400
269,300,-50.52,0,B,0,2952.7,80700
270,300,-45.067,0,A,0,2962.9,81000
271,300,-55.341,0,B,0,2973.3,81300
272,300,-47.219,0,A,0,2983.4,81600
273,300,-53.915,0,B,0,2994.1,81900
274,300,-50.666,0,A,0,3004.4,82200
275,300,-50.378,0,B,0,3014.8,82500
276,300,-52.34,0,A,0,3024.9,82800
277,300,-48.524,0,B,0,3035.0,83100
278,300,-52.179,0,A,0,3045.1,83400
279,300,-55.618,0,B,0,3055.3,83700
280,300,-50.049,0,A,0,3065.5,84000
281,300,-56.881,0,B,0,3075.9,84300
282,300,-55.283,0,A,0,3086.0,84600
283,300,-48.427,0,B,0,3096.2,84900
284,300,-44.975,0,A,0,3106.4,85200
285,300,-47.841,0,B,0,3116.6,85500
286,300,-70.598,0,A,0,3126.8,85800
287,300,-55.199,0,B,0,3136.9,86100
288,300,-57.146,0,A,0,3147.1,86400
289,300,-56.194,0,B,0,3157.3,86700
290,300,-52.199,0,A,0,3167.5,87000
291,300,-51.185,0,B,0,3177.8,87300
292,300,-51.425,0,A,0,3188.1,87600
293,300,-43.02,0,B,0,3198.2,87900
294,300,-45.587,0,A,0,3208.5,88200
295,300,-35.469,0,B,0,3218.6,88500
296,300,-44.389,0,A,0,3228.7,88800
297,300,-58.688,0,B,0,3239.0,89100
298,300,-45.349,0,A,0,3249.1,89400
299,300,-42.458,0,B,0,3259.2,89700
300,300,-44.985,0,A,0,3269.3,90000
301,300,-60.684,0,B,0,3279.4,90300
302,300,-43.685,0,A,0,3289.7,90600
303,300,-61.491,0,B,0,3299.8,90900
304,300,-42.726,0,A,0,3310.0,91200
305,300,-55.761,0,B,0,3320.2,91500
306,300,-38.756,0,A,0,3330.6,91800
307,300,-66.238,0,B,0,3340.9,92100
308,300,-44.326,0,A,0,3351.1,92400
309,100,-4.029,1,B,0,3354.6,92500
310,300,-44.935,0,A,0,3364.8,92800
311,300,-66.862,0,B,0,3375.0,93100
312,300,-51.044,0,A,0,3385.1,93400
313,300,-42.755,0,B,0,3395.6,93700
314,300,-43.847,0,A,0,3405.7,94000
315,300,-58.617,0,B,0,3415.9,94300
316,300,-57.637,0,A,0,3426.2,94600
317,300,-56.874,0,B,0,3436.4,94900
318,300,-34.541,0,A,0,3446.6,95200
319,300,-55.214,0,B,0,3457.0,95500
320,300,-43.983,0,A,0,3467.2,95800
321,300,-59.033,0,B,0,3477.4,96100
322,300,-53.205,0,A,0,3487.8,96400
323,300,-62.648,0,B,0,3498.1,96700
324,300,-48.376,0,A,0,3508.4,97000
325,300,-55.311,0,B,0,3518.7,97300
326,300,-61.219,0,A,0,3529.0,97600
327,300,-51.173,0,B,0,3539.3,97900
328,300,-49.739,0,A,0,3549.4,98200
329,300,-53.823,0,B,0,3559.6,98500
330,300,-50.654,0,A,0,3569.8,98800
331,300,-44.628,0,B,0,3580.1,99100
332,300,-51.525,0,A,0,3590.3,99400
333,300,-61.917,0,B,0,3600.5,99700
334,300,-42.766,0,A,0,3610.7,100000
335,300,-54.933,0,B,0,3672.4,100300
336,300,-51.192,0,A,0,3683.3,100600
337,300,-54.024,0,B,0,3693.8,100900
338,300,-46.394,0,A,0,3704.1,101200
339,300,-26.97,0,B,0,3714.4,101500
340,300,-55.93,0,A,0,3724.6,101800
341,300,-57.405,0,B,0,3734.8,102100
342,300,-51.507,0,A,0,3745.2,102400
343,300,-42.357,0,B,0,3755.4,102700
344,300,-41.431,0,A,0,3765.6,103000
345,300,-47.957,0,B,0,3776.0,103300
346,300,-65.008,0,A,0,3786.2,103600
347,300,-62.169,0,B,0,3796.4,103900
348,300,-48.641,0,A,0,3806.7,104200
349,300,-43.667,0,B,0,3817.0,104500
350,300,-49.024,0,A,0,3827.2,104800
351,300,-35.299,0,B,0,3837.5,105100
352,300,-48.381,0,A,0,3847.6,105400
353,300,-26.247,0,B,0,3857.9,105700
354,300,-42.802,0,A,0,3868.1,106000
355,300,-50.979,0,B,0,3878.1,106300
356,300,-48.933,0,A,0,3888.3,106600
357,300,-48.726,0,B,0,3898.6,106900
358,300,-52.367,0,A,0,3908.7,107200
359,300,-56.613,0,B,0,3918.7,107500
360,300,-52.617,0,A,0,3929.6,107800
361,300,-41.344,0,B,0,3939.6,108100
362,300,-57.455,0,A,0,3950.1,108400
363,300,-39.593,0,B,0,3960.3,108700
364,300,-56.082,0,A,0,3970.5,109000
365,300,-57.49,0,B,0,3980.7,109300
366,300,-48.745,0,A,0,3990.7,109600
367,300,-52.471,0,B,0,4000.8,109900
368,300,-45.29,0,A,0,4011.1,110200
369,300,-53.996,0,B,0,4021.3,110500
370,300,-56.05,0,A,0,4031.9,110800
371,300,-51.805,0,B,0,4042.1,111100
372,300,-50.344,0,A,0,4052.3,111400
373,300,-52.738,0,B,0,4062.6,111700
374,300,-52.097,0,A,0,4072.8,112000
375,300,-55.218,0,B,0,4083.1,112300
376,300,-50.03,0,A,0,4093.8,112600
377,300,-58.902,0,B,0,4104.2,112900
378,300,-44.756,0,A,0,4114.5,113200
379,300,-62.934,0,B,0,4124.7,113500
380,300,-48.241,0,A,0,4134.9,113800
381,300,-54.983,0,B,0,4144.9,114100
382,300,-55.997,0,A,0,4155.2,114400
383,300,-61.803,0,B,0,4165.3,114700
384,300,-54.76,0,A,0,4175.7,115000
385,300,-61.425,0,B,0,4186.0,115300
386,300,-51.778,0,A,0,4196.1,115600
387,300,-58.803,0,B,0,4206.1,115900
388,300,-52.996,0,A,0,4216.3,116200
389,300,-49.228,0,B,0,4226.5,116500
390,300,-43.89,0,A,0,4236.7,116800
391,300,-47.534,0,B,0,4247.0,117100
392,300,-45.985,0,A,0,4257.3,117400
393,300,-45.653,0,B,0,4267.4,117700
394,300,-74.402,0,A,0,4277.8,118000
395,300,-43.827,0,B,0,4288.0,118300
396,300,-44.601,0,A,0,4298.2,118600
397,300,-52.604,0,B,0,4308.4,118900
398,300,-47.115,0,A,0,4318.4,119200
399,300,-52.947,0,B,0,4328.5,119500
400,300,-47.651,0,A,0,4338.5,119800
401,300,-39.314,0,B,0,4348.7,120100
402,300,-50.231,0,A,0,4358.8,120400
403,300,-37.898,0,B,0,4369.0,120700
404,300,-61.721,0,A,0,4379.1,121000
405,300,-63.994,0,B,0,4389.6,121300
406,300,-44.855,0,A,0,4399.8,121600
407,300,-56.758,0,B,0,4410.2,121900
408,300,-58.327,0,A,0,4422.9,122200
409,300,-53.767,0,B,0,4433.4,122500
410,300,-44.618,0,A,0,4443.5,122800
411,300,-59.986,0,B,0,4453.6,123100
412,300,-42.599,0,A,0,4463.9,123400
413,300,-46.556,0,B,0,4474.1,123700
414,300,-49.585,0,A,0,4484.4,124000
415,300,-49.985,0,B,0,4494.7,124300
416,300,-44.211,0,A,0,4504.9,124600
417,300,-47.493,0,B,0,4515.0,124900
418,300,-45.881,0,A,0,4575.7,125200
419,300,-32.477,0,B,0,4585.7,125500
420,300,-47.671,0,A,0,4595.6,125800
421,300,-45.663,0,B,0,4605.8,126100
422,300,-43.766,0,A,0,4615.9,126400
423,300,-54.65,0,B,0,4626.1,126700
424,300,-49.557,0,A,0,4636.3,127000
425,300,-53.498,0,B,0,4646.5,127300
426,300,-43.241,0,A,0,4656.6,127600
427,300,-44.815,0,B,0,4666.9,127900
428,300,-56.552,0,A,0,4677.1,128200
429,300,-53.942,0,B,0,4687.2,128500
430,300,-69.599,0,A,0,4697.3,128800
431,300,-50.445,0,B,0,4707.6,129100
432,300,-65.891,0,A,0,4717.8,129400
433,300,-57.849,0,B,0,4728.1,129700
434,300,-59.66,0,A,0,4738.4,130000
435,300,-48.332,0,B,0,4748.7,130300
436,300,-54.278,0,A,0,4758.7,130600
437,300,-61.96,0,B,0,4769.0,130900
438,300,-54.55,0,A,0,4779.8,131200
439,300,-50.425,0,B,0,4790.1,131500
440,300,-51.722,0,A,0,4800.3,131800
441,300,-44.113,0,B,0,4810.5,132100
442,300,-59.27,0,A,0,4820.6,132400
443,300,-44.851,0,B,0,4830.9,132700
444,300,-48.459,0,A,0,4841.1,133000
445,300,-54.541,0,B,0,4851.5,133300
446,300,-46.625,0,A,0,4861.9,133600
447,300,-59.36,0,B,0,4872.1,133900
448,300,-59.465,0,A,0,4884.1,134200
449,300,-50.033,0,B,0,4898.5,134500
450,300,-48.444,0,A,0,4910.7,134800
451,300,-48.053,0,B,0,4921.8,135100
452,300,-45.989,0,A,0,4932.5,135400
453,300,-58.21,0,B,0,4942.9,135700
454,300,-50.411,0,A,0,4954.7,136000
455,300,-49.736,0,B,0,4965.6,136300
456,300,-55.815,0,A,0,4976.0,136600
457,300,-27.131,0,B,0,4986.4,136900
458,300,-82.944,0,A,0,4996.7,137200
459,300,-52.997,0,B,0,5007.3,137500
460,300,-44.04,0,A,0,5017.6,137800
461,300,-37.683,0,B,0,5028.0,138100
462,300,-53.466,0,A,0,5038.2,138400
463,300,-57.947,0,B,0,5048.7,138700
464,300,-51.759,0,A,0,5059.4,139000
465,300,-43.818,0,B,0,5069.7,139300
466,300,-47.688,0,A,0,5080.1,139600
467,300,-49.39,0,B,0,5090.5,139900
468,300,-48.996,0,A,0,5100.9,140200
469,300,-50.188,0,B,0,5111.2,140500
470,300,-45.217,0,A,0,5121.6,140800
471,300,-46.004,0,B,0,5132.2,141100
472,300,-43.61,0,A,0,5142.5,141400
473,300,-49.019,0,B,0,5152.9,141700
474,300,-44.179,0,A,0,5163.3,142000
475,300,-49.746,0,B,0,5173.7,142300
476,300,-41.189,0,A,0,5184.0,142600
477,300,-48.092,0,B,0,5194.5,142900
478,300,-49.668,0,A,0,5205.1,143200
479,300,-41.365,0,B,0,5215.7,143500
480,300,-44.199,0,A,0,5225.9,143800
481,300,-52.425,0,B,0,5236.2,144100
482,300,-42.423,0,A,0,5246.5,144400
483,300,-47.148,0,B,0,5256.9,144700
484,300,-41.338,0,A,0,5267.1,145000
485,300,-39.828,0,B,0,5277.4,145300
486,300,-44.841,0,A,0,5287.7,145600
487,300,-43.896,0,B,0,5298.0,145900
488,300,-53.922,0,A,0,5308.6,146200
489,300,-51.426,0,B,0,5319.3,146500
490,300,-50.336,0,A,0,5329.6,146800
491,300,-44.938,0,B,0,5340.7,147100
492,300,-53.764,0,A,0,5350.9,147400
493,300,-50.762,0,B,0,5361.3,147700
494,300,-48.033,0,A,0,5371.7,148000
495,300,-54.626,0,B,0,5382.0,148300
496,300,-47.609,0,A,0,5392.3,148600
497,300,-54.593,0,B,0,5402.8,148900
498,300,-46.628,0,A,0,5413.0,149200
499,300,-44.093,0,B,0,5423.5,149500
500,300,-55.729,0,A,0,5433.9,149800
501,300,-55.661,0,B,0,5494.2,150100
502,300,-49.417,0,A,0,5504.3,150400
503,300,-47.158,0,B,0,5514.4,150700
504,300,-40.815,0,A,0,5524.5,151000
505,300,-50.116,0,B,0,5534.7,151300
506,300,-43.786,0,A,0,5545.1,151600
507,300,-40.576,0,B,0,5555.5,151900
508,300,-61.65,0,A,0,5566.0,152200
509,300,-44.098,0,B,0,5576.5,152500
510,300,-46.877,0,A,0,5587.2,152800
511,300,-50.373,0,B,0,5597.7,153100
512,300,-42.619,0,A,0,5608.3,153400
513,300,-58.371,0,B,0,5618.6,153700
514,300,-44.334,0,A,0,5629.1,154000
515,300,-54.397,0,B,0,5639.4,154300
516,300,-58.927,0,A,0,5649.7,154600
517,300,-61.391,0,B,0,5660.0,154900
518,300,-47.702,0,A,0,5670.5,155200
519,300,-45.566,0,B,0,5681.1,155500
520,300,-49.76,0,A,0,5691.4,155800
521,300,-43.788,0,B,0,5701.8,156100
522,300,-45.382,0,A,0,5712.3,156400
523,300,-60.0,0,B,0,5722.7,156700
524,300,-55.662,0,A,0,5733.1,157000
525,300,-51.911,0,B,0,5743.6,157300
526,300,-56.947,0,A,0,5754.0,157600
527,300,-54.696,0,B,0,5764.3,157900
528,300,-55.254,0,A,0,5774.7,158200
529,300,-52.931,0,B,0,5785.6,158500
530,300,-51.044,0,A,0,5796.1,158800
531,300,-47.899,0,B,0,5806.5,159100
532,300,-51.484,0,A,0,5816.8,159400
533,300,-52.849,0,B,0,5827.2,159700
534,300,-46.903,0,A,0,5837.6,160000
535,300,-56.426,0,B,0,5848.0,160300
536,300,-52.33,0,A,0,5858.5,160600
537,300,-50.602,0,B,0,5868.8,160900
538,300,-46.27,0,A,0,5879.5,161200
539,300,-47.06,0,B,0,5890.2,161500
540,300,-45.051,0,A,0,5900.5,161800
541,300,-30.927,0,B,0,5910.9,162100
542,300,-48.971,0,A,0,5921.3,162400
543,300,-36.518,0,B,0,5931.7,162700
544,300,-50.076,0,A,0,5942.0,163000
545,300,-51.714,0,B,0,5952.6,163300
546,300,-49.344,0,A,0,5963.0,163600
547,300,-49.243,0,B,0,5973.4,163900
548,300,-41.81,0,A,0,5983.7,164200
549,300,-55.047,0,B,0,5994.1,164500
550,300,-46.053,0,A,0,6004.4,164800
