episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-68.902,0,B,0,0.6,300
2,300,-84.631,0,B,0,1.0,600
3,300,-79.055,0,B,0,1.3,900
4,300,-76.43,0,B,0,1.5,1200
5,300,-89.611,0,B,0,1.8,1500
6,300,-60.673,0,B,0,2.1,1800
7,300,-62.854,0,B,0,2.4,2100
8,300,-98.857,0,B,0,2.6,2400
9,300,-71.441,0,B,0,2.8,2700
10,300,-71.826,0,B,0,3.1,3000
11,300,-56.231,0,B,0,3.4,3300
12,300,-82.267,0,B,0,3.6,3600
13,300,-81.324,0,B,0,3.8,3900
14,300,-107.511,0,B,0,4.0,4200
15,300,-73.564,0,B,0,4.3,4500
16,300,-81.031,0,B,0,4.5,4800
17,300,-78.013,0,B,0,8.8,5100
18,300,-69.929,0,B,0,19.9,5400
19,300,-56.185,0,B,0,31.2,5700
20,300,-105.428,0,B,0,42.3,6000
21,300,-85.693,0,B,0,53.9,6300
22,300,-103.718,0,B,0,65.1,6600
23,300,-78.639,0,B,0,76.3,6900
24,300,-113.51,0,B,0,87.7,7200
25,300,-84.442,0,B,0,99.1,7500
26,300,-63.388,0,B,0,110.5,7800
27,300,-75.521,0,B,0,122.2,8100
28,300,-69.313,0,B,0,134.1,8400
29,300,-74.741,0,B,0,145.9,8700
30,300,-83.02,0,B,0,158.2,9000
31,300,-82.215,0,B,0,170.3,9300
32,300,-76.275,0,B,0,182.3,9600
33,300,-66.178,0,B,0,194.2,9900
34,300,-73.011,0,B,0,206.3,10200
35,300,-71.778,0,B,0,218.4,10500
36,300,-76.413,0,B,0,230.0,10800
37,300,-79.857,0,B,0,241.9,11100
38,300,-89.295,0,B,0,254.0,11400
39,300,-68.58,0,B,0,266.1,11700
40,300,-67.545,0,B,0,278.0,12000
41,300,-69.684,0,B,0,290.8,12300
42,300,-66.165,0,B,0,305.2,12600
43,300,-68.854,0,B,0,320.3,12900
44,300,-60.998,0,B,0,336.3,13200
45,300,-69.332,0,B,0,352.8,13500
46,300,-70.629,0,B,0,369.3,13800
47,300,-70.104,0,B,0,388.7,14100
48,300,-66.442,0,B,0,404.6,14400
49,300,-66.731,0,B,0,419.2,14700
50,300,-62.558,0,B,0,431.9,15000
51,300,-68.428,0,B,0,444.5,15300
52,300,-61.127,0,B,0,457.4,15600
53,300,-58.74,0,B,0,469.8,15900
54,300,-55.281,0,B,0,482.8,16200
55,300,-60.233,0,B,0,496.1,16500
56,300,-62.329,0,B,0,509.4,16800
57,300,-64.564,0,B,0,522.6,17100
58,300,-62.309,0,B,0,535.0,17400
59,300,-62.482,0,B,0,547.7,17700
60,300,-62.365,0,B,0,560.3,18000
61,300,-63.538,0,B,0,573.0,18300
62,300,-64.342,0,B,0,585.6,18600
63,300,-60.976,0,B,0,599.3,18900
64,300,-60.385,0,B,0,612.6,19200
65,300,-56.06,0,B,0,625.1,19500
66,300,-57.947,0,B,0,637.0,19800
67,300,-60.365,0,B,0,649.0,20100
68,300,-58.462,0,B,0,662.2,20400
69,300,-64.085,0,B,0,682.1,20700
70,300,-65.318,0,B,0,700.5,21000
71,300,-67.609,0,B,0,714.8,21300
72,300,-63.414,0,B,0,728.9,21600
73,300,-64.21,0,B,0,742.4,21900
74,300,-65.894,0,B,0,757.0,22200
75,300,-67.276,0,B,0,771.5,22500
76,300,-68.005,0,B,0,786.4,22800
77,300,-74.204,0,B,0,801.3,23100
78,300,-73.583,0,B,0,817.8,23400
79,300,-79.03,0,B,0,833.7,23700
80,300,-76.931,0,B,0,848.1,24000
81,300,-84.114,0,B,0,863.6,24300
82,214,-29.057,1,A,0,874.2,24514
83,300,-53.759,0,A,0,888.8,24814
84,300,-59.073,0,A,0,956.6,25114
85,300,-64.757,0,A,0,967.0,25414
86,300,-61.54,0,A,0,977.5,25714
87,300,-62.042,0,A,0,987.9,26014
88,300,-61.622,0,A,0,998.0,26314
89,300,-60.308,0,A,0,1008.2,26614
90,300,-56.168,0,A,0,1018.2,26914
91,300,-53.428,0,A,0,1028.2,27214
92,300,-54.064,0,A,0,1038.3,27514
93,300,-54.49,0,A,0,1048.4,27814
94,300,-59.058,0,A,0,1058.5,28114
95,300,-57.582,0,A,0,1068.5,28414
96,300,-65.983,0,A,0,1078.6,28714
97,300,-58.887,0,A,0,1088.8,29014
98,300,-59.623,0,A,0,1098.7,29314
99,300,-60.243,0,A,0,1108.8,29614
100,161,-21.169,1,B,0,1114.2,29775
101,300,-89.074,0,B,0,1124.4,30075
102,300,-65.384,0,B,0,1134.8,30375
103,300,-69.786,0,B,0,1145.3,30675
104,300,-64.791,0,B,0,1155.3,30975
105,300,-77.854,0,B,0,1165.6,31275
106,300,-67.701,0,B,0,1176.3,31575
107,300,-57.835,0,B,0,1186.4,31875
108,300,-68.452,0,B,0,1196.5,32175
109,300,-61.132,0,B,0,1206.8,32475
110,300,-46.97,0,B,0,1216.9,32775
111,300,-47.17,0,B,0,1227.9,33075
112,300,-45.9,0,B,0,1241.6,33375
113,300,-51.917,0,B,0,1256.3,33675
114,300,-45.118,0,B,0,1268.3,33975
115,300,-46.229,0,B,0,1278.4,34275
116,300,-46.178,0,B,0,1288.7,34575
117,300,-42.613,0,B,0,1299.6,34875
118,300,-64.579,0,B,0,1309.7,35175
119,300,-52.412,0,B,0,1319.8,35475
120,300,-54.423,0,B,0,1330.0,35775
121,300,-48.299,0,B,0,1340.2,36075
122,300,-46.381,0,B,0,1350.3,36375
123,300,-50.321,0,B,0,1360.5,36675
124,300,-62.608,0,B,0,1370.7,36975
125,300,-63.674,0,B,0,1380.9,37275
126,300,-54.061,0,B,0,1391.4,37575
127,300,-49.766,0,B,0,1401.7,37875
128,300,-56.219,0,B,0,1411.9,38175
129,300,-48.801,0,B,0,1422.0,38475
130,300,-43.844,0,B,0,1432.2,38775
131,300,-30.12,0,B,0,1442.4,39075
132,300,-34.45,0,B,0,1452.6,39375
133,300,-31.539,0,B,0,1462.8,39675
134,300,-38.675,0,B,0,1473.0,39975
135,279,-27.415,1,A,0,1482.3,40254
136,300,-66.332,0,A,0,1492.4,40554
137,300,-69.064,0,A,0,1502.6,40854
138,300,-61.332,0,A,0,1512.8,41154
139,300,-70.742,0,A,0,1523.0,41454
