episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
1,300,-69.808,0,B,,25,0.0,,0,0.2,300
2,300,-76.25,0,B,,17,0.0,,0,0.4,600
3,300,-58.48,0,B,,10,0.0,,0,0.6,900
4,300,-78.955,0,B,,1,0.0,,0,0.7,1200
5,300,-72.37,0,B,,10,0.0,,0,0.9,1500
6,300,-51.09,0,B,,10,0.0,,0,1.1,1800
7,300,-63.205,0,B,,18,0.0,,0,1.3,2100
8,300,-77.03,0,B,,25,0.0,,0,1.5,2400
9,300,-67.789,0,B,,8,0.0,,0,1.7,2700
10,300,-57.725,0,B,,16,0.0,,0,1.8,3000
11,300,-51.073,0,B,,17,0.0,,0,2.0,3300
12,300,-79.245,0,B,,0,0.0,,0,2.2,3600
13,300,-67.801,0,B,,16,0.0,,0,2.4,3900
14,300,-75.984,0,B,,10,0.0,,0,2.6,4200
15,300,-71.067,0,B,,0,0.0,,0,2.8,4500
16,300,-74.042,0,B,,16,0.0,,0,3.0,4800
17,300,-70.851,0,B,,9,0.0,,0,5.4,5100
18,300,-75.244,0,B,,25,0.0,,0,11.9,5400
19,300,-68.379,0,B,,9,0.0,,0,18.7,5700
20,300,-87.035,0,B,,24,0.0,,0,25.4,6000
21,300,-71.015,0,B,,24,0.0,,0,32.1,6300
22,300,-85.727,0,B,,24,0.0,,0,38.9,6600
23,300,-51.69,0,B,,9,0.0,,0,45.8,6900
24,300,-94.293,0,B,,8,0.0,,0,52.6,7200
25,300,-74.852,0,B,,8,0.0,,0,59.3,7500
26,300,-58.714,0,B,,25,0.0,,0,66.1,7800
27,300,-53.406,0,B,,18,0.0,,0,72.9,8100
28,300,-42.231,0,B,,17,0.0,,0,79.6,8400
29,300,-54.196,0,B,,1,0.0,,0,86.4,8700
30,300,-47.138,0,B,,17,0.0,,0,93.1,9000
31,300,-53.415,0,B,,17,0.0,,0,100.0,9300
32,300,-66.203,0,B,,9,0.0,,0,106.9,9600
33,300,-54.542,0,B,,9,0.0,,0,113.7,9900
34,300,-53.77,0,B,,9,0.0,,0,120.4,10200
35,300,-46.299,0,B,,9,0.0,,0,127.0,10500
36,300,-48.253,0,B,,10,0.0,,0,133.7,10800
37,300,-55.834,0,B,,10,0.0,,0,140.3,11100
38,300,-62.841,0,B,,16,0.0,,0,147.1,11400
39,300,-48.861,0,B,,17,0.0,,0,153.9,11700
40,300,-65.778,0,B,,16,0.0,,0,160.6,12000
41,300,-67.342,0,B,,16,0.0,,0,167.4,12300
42,300,-57.659,0,B,,1,0.0,,0,173.9,12600
43,300,-54.178,0,B,,1,0.0,,0,179.2,12900
44,300,-45.984,0,B,,10,0.0,,0,184.5,13200
45,300,-50.776,0,B,,9,0.0,,0,190.0,13500
46,300,-46.775,0,B,,10,0.0,,0,195.1,13800
47,300,-53.215,0,B,,9,0.0,,0,200.2,14100
48,300,-47.683,0,B,,10,0.0,,0,205.8,14400
49,300,-51.887,0,B,,9,0.0,,0,210.9,14700
50,300,-47.595,0,B,,1,0.0,,0,216.1,15000
51,300,-49.617,0,B,,25,0.0,,0,221.6,15300
52,300,-35.346,0,B,,10,0.0,,0,226.6,15600
53,300,-58.8,0,B,,8,0.0,,0,231.6,15900
54,300,-49.197,0,B,,9,0.0,,0,236.9,16200
55,300,-44.541,0,B,,9,0.0,,0,242.5,16500
56,300,-36.552,0,B,,18,0.0,,0,248.7,16800
57,300,-36.402,0,B,,18,0.0,,0,255.4,17100
58,300,-46.671,0,B,,8,0.0,,0,262.1,17400
59,300,-38.039,0,B,,18,0.0,,0,268.9,17700
60,300,-38.358,0,B,,18,0.0,,0,275.6,18000
61,300,-46.914,0,B,,16,0.0,,0,282.5,18300
62,300,-50.39,0,B,,8,0.0,,0,289.2,18600
63,300,-45.697,0,B,,17,0.0,,0,296.0,18900
64,300,-46.197,0,B,,25,0.0,,0,302.7,19200
65,300,-50.647,0,B,,17,0.0,,0,309.5,19500
66,300,-52.345,0,B,,8,0.0,,0,316.2,19800
67,300,-54.828,0,B,,8,0.0,,0,322.9,20100
68,300,-48.135,0,B,,16,0.0,,0,329.6,20400
69,97,-14.305,0,B,,24,0.0,escape,1,331.8,20497
70,300,-50.063,0,B,,8,0.0,,1,338.5,20797
71,300,-40.857,0,B,,25,0.0,,1,345.2,21097
72,300,-37.174,0,B,,9,0.0,,1,351.9,21397
73,300,-40.685,0,B,,9,0.0,,1,358.6,21697
74,300,-41.414,0,B,,9,0.0,,1,365.4,21997
75,300,-40.824,0,B,,17,0.0,,1,372.2,22297
76,300,-45.954,0,B,,9,0.0,,1,378.9,22597
77,300,-48.106,0,B,,9,0.0,,1,385.7,22897
78,300,-33.46,0,B,,26,0.0,,1,392.3,23197
79,300,-30.929,0,B,,18,0.0,,1,399.1,23497
80,300,-45.384,0,B,,16,0.0,,1,406.0,23797
81,300,-32.781,0,B,,10,0.0,,1,412.7,24097
82,300,-45.11,0,B,,24,0.0,,1,419.4,24397
83,300,-37.942,0,B,,9,0.0,,1,426.2,24697
84,300,-48.493,0,B,,8,0.0,,1,433.0,24997
85,300,-34.975,0,B,,9,0.0,,1,453.8,25297
86,300,-38.334,0,B,,17,0.0,,1,460.6,25597
87,300,-37.964,0,B,,1,0.0,,1,467.3,25897
88,300,-34.306,0,B,,10,0.0,,1,474.0,26197
89,300,-39.735,0,B,,1,0.0,,1,480.7,26497
90,300,-43.245,0,B,,25,0.0,,1,487.5,26797
91,300,-39.959,0,B,,9,0.0,,1,494.3,27097
92,300,-38.983,0,B,,25,0.0,,1,501.1,27397
93,300,-33.522,0,B,,9,0.0,,1,507.9,27697
94,300,-47.462,0,B,,8,0.0,,1,514.5,27997
95,300,-44.503,0,B,,8,0.0,,1,521.3,28297
96,300,-34.486,0,B,,17,0.0,,1,528.0,28597
97,300,-50.933,0,B,,8,0.0,,1,534.9,28897
98,300,-40.164,0,B,,9,0.0,,1,541.8,29197
99,300,-52.844,0,B,,8,0.0,,1,548.6,29497
100,300,-40.241,0,B,,17,0.0,,1,555.3,29797
101,300,-40.716,0,B,,25,0.0,,1,562.2,30097
102,300,-48.968,0,B,,8,0.0,,1,569.0,30397
103,300,-33.347,0,B,,18,0.0,,1,575.8,30697
104,300,-39.388,0,B,,1,0.0,,1,582.7,30997
105,300,-43.912,0,B,,16,0.0,,1,589.5,31297
106,300,-39.621,0,B,,9,0.0,,1,596.3,31597
107,300,-41.716,0,B,,17,0.0,,1,603.1,31897
108,300,-49.06,0,B,,16,0.0,,1,609.8,32197
109,300,-38.525,0,B,,1,0.0,,1,616.6,32497
110,300,-36.815,0,B,,26,0.0,,1,623.4,32797
111,300,-38.548,0,B,,17,0.0,,1,630.1,33097
112,300,-45.381,0,B,,0,0.0,,1,636.9,33397
113,300,-38.959,0,B,,17,0.0,,1,643.6,33697
114,300,-47.583,0,B,,24,0.0,,1,650.4,33997
115,300,-50.331,0,B,,16,0.0,,1,657.3,34297
116,300,-37.602,0,B,,1,0.0,,1,664.0,34597
117,300,-41.579,0,B,,9,0.0,,1,670.7,34897
118,300,-38.06,0,B,,9,0.0,,1,677.6,35197
119,300,-34.433,0,B,,10,0.0,,1,683.9,35497
120,300,-34.807,0,B,,9,0.0,,1,689.2,35797
121,300,-47.91,0,B,,16,0.0,,1,694.4,36097
122,300,-47.278,0,B,,8,0.0,,1,699.7,36397
123,300,-34.047,0,B,,10,0.0,,1,705.0,36697
124,300,-39.659,0,B,,9,0.0,,1,710.2,36997
125,300,-43.756,0,B,,17,0.0,,1,716.6,37297
126,300,-41.823,0,B,,1,0.0,,1,722.6,37597
127,300,-47.194,0,B,,16,0.0,,1,728.2,37897
128,300,-33.635,0,B,,18,0.0,,1,733.3,38197
129,300,-39.137,0,B,,1,0.0,,1,738.5,38497
130,300,-45.545,0,B,,24,0.0,,1,744.2,38797
