episode,steps,return,success,target,interventions_total,wallclock_s,global_step
1,300,-60.664,0,B,0,0.3,300
2,300,-76.625,0,A,0,0.5,600
3,300,-84.017,0,B,0,0.7,900
4,300,-67.926,0,A,0,0.9,1200
5,300,-58.412,0,B,0,1.2,1500
6,300,-57.168,0,A,0,1.4,1800
7,300,-73.51,0,B,0,1.6,2100
8,300,-55.192,0,A,0,1.9,2400
9,300,-78.38,0,B,0,2.1,2700
10,300,-87.279,0,A,0,2.4,3000
11,300,-63.298,0,B,0,2.6,3300
12,300,-64.349,0,A,0,2.9,3600
13,300,-60.232,0,B,0,3.2,3900
14,300,-73.473,0,A,0,3.5,4200
15,300,-81.234,0,B,0,3.7,4500
16,300,-66.951,0,A,0,4.0,4800
17,300,-90.373,0,B,0,6.9,5100
18,300,-92.56,0,A,0,16.5,5400
19,300,-89.717,0,B,0,25.5,5700
20,300,-73.023,0,A,0,35.3,6000
21,300,-57.25,0,B,0,44.7,6300
22,300,-74.716,0,A,0,53.9,6600
23,300,-74.462,0,B,0,63.4,6900
24,300,-85.278,0,A,0,72.4,7200
25,300,-69.321,0,B,0,81.5,7500
26,300,-75.603,0,A,0,90.0,7800
27,300,-64.909,0,B,0,98.9,8100
28,300,-81.873,0,A,0,107.6,8400
29,300,-72.514,0,B,0,116.3,8700
30,300,-51.149,0,A,0,125.4,9000
31,300,-60.728,0,B,0,135.4,9300
32,300,-65.142,0,A,0,144.8,9600
33,300,-61.187,0,B,0,153.5,9900
34,300,-62.491,0,A,0,162.7,10200
35,300,-58.682,0,B,0,171.8,10500
36,300,-52.688,0,A,0,180.8,10800
37,300,-65.998,0,B,0,189.7,11100
38,300,-63.431,0,A,0,199.8,11400
39,300,-55.099,0,B,0,209.0,11700
40,300,-62.604,0,A,0,218.3,12000
41,300,-57.192,0,B,0,227.2,12300
42,300,-59.161,0,A,0,236.6,12600
43,300,-56.745,0,B,0,245.8,12900
44,300,-57.365,0,A,0,255.4,13200
45,300,-60.875,0,B,0,266.8,13500
46,300,-62.012,0,A,0,279.3,13800
47,300,-51.205,0,B,0,291.9,14100
48,300,-45.332,0,A,0,304.9,14400
49,300,-57.391,0,B,0,317.7,14700
50,300,-64.255,0,A,0,330.6,15000
51,300,-62.788,0,B,0,343.3,15300
52,300,-45.223,0,A,0,356.0,15600
53,300,-57.964,0,B,0,367.3,15900
54,300,-54.009,0,A,0,376.4,16200
55,300,-54.356,0,B,0,386.2,16500
56,300,-60.127,0,A,0,395.5,16800
57,300,-57.421,0,B,0,405.3,17100
58,300,-60.054,0,A,0,414.3,17400
59,300,-58.919,0,B,0,423.2,17700
60,300,-52.351,0,A,0,432.3,18000
61,300,-47.773,0,B,0,441.1,18300
