episode,steps,return,success,target,interventions_total,wallclock_s,global_step
145,300,-45.68,0,B,0,881.1,43027
146,300,-53.199,0,A,0,887.7,43327
147,300,-51.307,0,B,0,894.5,43627
148,300,-28.028,0,A,0,901.5,43927
149,300,-46.728,0,B,0,908.2,44227
150,300,-43.944,0,A,0,914.9,44527
151,300,-59.695,0,B,0,921.6,44827
152,300,-56.398,0,A,0,928.2,45127
153,300,-61.022,0,B,0,934.9,45427
154,300,-56.906,0,A,0,941.6,45727
155,300,-62.795,0,B,0,948.3,46027
156,300,-48.353,0,A,0,955.2,46327
157,300,-60.035,0,B,0,962.1,46627
158,300,-40.11,0,A,0,968.8,46927
159,300,-44.665,0,B,0,975.5,47227
160,300,-26.082,0,A,0,982.2,47527
161,300,-45.269,0,B,0,988.9,47827
162,300,-45.736,0,A,0,995.6,48127
163,300,-55.068,0,B,0,1002.2,48427
164,300,-40.449,0,A,0,1008.8,48727
165,300,-55.764,0,B,0,1015.6,49027
166,37,4.086,1,A,0,1016.4,49064
167,300,-48.806,0,B,0,1023.3,49364
168,300,-42.739,0,A,0,1029.9,49664
169,300,-63.155,0,B,0,1036.6,49964
170,300,-31.819,0,A,0,1063.9,50264
171,300,-56.013,0,B,0,1070.6,50564
172,300,-55.145,0,A,0,1077.6,50864
173,300,-49.059,0,B,0,1085.0,51164
174,77,-1.966,1,A,0,1086.5,51241
175,300,-35.592,0,B,0,1092.5,51541
176,54,1.066,1,A,0,1093.9,51595
177,300,-58.005,0,B,0,1099.6,51895
178,60,0.369,1,A,0,1100.7,51955
179,300,-36.211,0,B,0,1105.6,52255
180,105,-8.08,1,A,0,1107.4,52360
181,300,-57.678,0,B,0,1112.8,52660
182,109,-8.558,1,A,0,1114.6,52769
183,300,-51.455,0,B,0,1119.8,53069
184,300,-53.97,0,A,0,1125.1,53369
185,300,-44.737,0,B,0,1130.2,53669
186,58,0.681,1,A,0,1131.1,53727
187,300,-49.478,0,B,0,1137.9,54027
188,300,-72.296,0,A,0,1143.6,54327
189,300,-31.935,0,B,0,1148.8,54627
190,65,0.711,1,A,0,1150.0,54692
191,300,-54.375,0,B,0,1155.0,54992
192,242,-26.686,1,A,0,1159.0,55234
193,300,-45.989,0,B,0,1165.6,55534
194,64,0.663,1,A,0,1166.7,55598
195,300,-61.79,0,B,0,1171.8,55898
196,300,-54.969,0,A,0,1176.9,56198
197,300,-44.54,0,B,0,1181.9,56498
198,300,-61.514,0,A,0,1186.9,56798
199,300,-29.762,0,B,0,1191.8,57098
200,62,0.394,1,A,0,1192.9,57160
201,300,-47.612,0,B,0,1200.3,57460
202,121,-11.564,1,A,0,1202.4,57581
203,300,-46.491,0,B,0,1207.6,57881
204,300,-57.709,0,A,0,1212.6,58181
205,300,-56.811,0,B,0,1217.8,58481
206,300,-51.529,0,A,0,1222.8,58781
207,300,-62.238,0,B,0,1227.8,59081
208,300,-41.584,0,A,0,1233.1,59381
209,300,-49.346,0,B,0,1238.4,59681
210,52,1.826,1,A,0,1239.4,59733
211,300,-52.036,0,B,0,1244.6,60033
212,63,-0.797,1,A,0,1245.7,60096
213,300,-66.021,0,B,0,1251.0,60396
214,300,-51.807,0,A,0,1257.8,60696
215,300,-62.905,0,B,0,1264.1,60996
216,300,-34.971,0,A,0,1269.4,61296
217,300,-59.129,0,B,0,1274.5,61596
218,67,0.118,1,A,0,1275.6,61663
219,300,-58.561,0,B,0,1280.9,61963
220,300,-42.004,0,A,0,1285.8,62263
221,300,-29.238,0,B,0,1290.8,62563
222,300,-47.686,0,A,0,1295.8,62863
223,300,-40.13,0,B,0,1300.9,63163
224,55,2.409,1,A,0,1301.8,63218
225,300,-41.789,0,B,0,1307.0,63518
226,300,-31.279,0,A,0,1312.0,63818
227,300,-47.322,0,B,0,1319.5,64118
228,300,-35.356,0,A,0,1325.0,64418
229,300,-62.369,0,B,0,1330.0,64718
230,300,-44.26,0,A,0,1335.0,65018
231,300,-26.462,0,B,0,1340.2,65318
232,300,-31.165,0,A,0,1345.2,65618
233,300,-61.99,0,B,0,1350.4,65918
234,300,-40.213,0,A,0,1355.5,66218
235,300,-51.239,0,B,0,1360.5,66518
236,300,-43.537,0,A,0,1365.5,66818
237,300,-58.009,0,B,0,1370.9,67118
238,300,-49.731,0,A,0,1378.2,67418
239,300,-54.972,0,B,0,1385.2,67718
