episode,steps,return,success,target,start_bin,delivered_bin,designer_bonus,intervention_kind,interventions_total,wallclock_s,global_step
104,300,-62.652,0,B,,16,0.0,,18,403.7,25853
105,300,-32.804,0,B,,10,0.0,,18,409.0,26153
106,300,-27.793,0,B,,3,0.0,,18,414.3,26453
107,300,-47.357,0,B,,9,0.0,,18,419.7,26753
108,300,-49.815,0,B,,16,0.0,,18,424.9,27053
109,300,-47.033,0,B,,1,0.0,,18,430.2,27353
110,300,-57.437,0,B,,16,0.0,,18,435.2,27653
111,300,-39.792,0,B,,18,0.0,,18,440.4,27953
112,300,-48.456,0,B,,1,0.0,,18,445.8,28253
113,300,-57.491,0,B,,24,0.0,,18,450.9,28553
114,300,-57.916,0,B,,25,0.0,,18,456.1,28853
115,300,-58.167,0,B,,16,0.0,,18,461.4,29153
116,21,-2.699,0,B,,18,0.0,escape,19,461.7,29174
117,300,-61.747,0,B,,8,0.0,,19,467.0,29474
118,300,-57.036,0,B,,9,0.0,,19,472.1,29774
119,49,-5.59,0,B,,16,0.0,escape,20,473.0,29823
120,49,-3.21,0,B,,1,0.0,escape,21,473.8,29872
121,300,-58.073,0,B,,8,0.0,,21,479.3,30172
122,300,-55.34,0,B,,1,0.0,,21,484.5,30472
123,300,-59.019,0,B,,8,0.0,,21,489.6,30772
124,300,-42.385,0,B,,18,0.0,,21,494.8,31072
125,300,-49.769,0,B,,9,0.0,,21,499.8,31372
126,300,-55.396,0,B,,16,0.0,,21,504.9,31672
127,300,-54.362,0,B,,8,0.0,,21,510.1,31972
128,300,-43.435,0,B,,9,0.0,,21,515.3,32272
129,300,-43.88,0,B,,1,0.0,,21,520.4,32572
130,300,-50.956,0,B,,8,0.0,,21,525.4,32872
131,300,-43.969,0,B,,9,0.0,,21,530.8,33172
132,300,-40.778,0,B,,1,0.0,,21,536.2,33472
133,300,-42.655,0,B,,1,0.0,,21,541.5,33772
134,300,-49.75,0,B,,24,0.0,,21,546.7,34072
135,300,-49.146,0,B,,16,0.0,,21,551.8,34372
136,300,-51.24,0,B,,16,0.0,,21,557.0,34672
137,300,-41.177,0,B,,17,0.0,,21,562.4,34972
138,300,-44.128,0,B,,25,0.0,,21,567.5,35272
139,300,-41.735,0,B,,9,0.0,,21,572.7,35572
140,300,-50.399,0,B,,16,0.0,,21,578.1,35872
141,300,-36.433,0,B,,18,0.0,,21,583.5,36172
142,190,-30.477,0,B,,9,0.0,escape,22,586.8,36362
143,39,6.841,1,B,,12,0.0,,22,587.4,36401
144,27,-3.583,0,B,,18,0.0,escape,23,587.9,36428
145,300,-47.049,0,B,,9,0.0,,23,593.2,36728
146,262,-36.718,0,B,,8,0.0,escape,24,597.5,36990
147,130,-19.411,0,B,,0,0.0,escape,25,599.7,37120
148,300,-41.046,0,B,,18,0.0,,25,605.0,37420
149,41,5.831,1,B,,19,0.0,,25,605.9,37461
150,300,-29.518,0,B,,27,0.0,,25,611.2,37761
151,91,-11.918,0,B,,1,0.0,escape,26,612.9,37852
152,196,-24.807,1,B,,4,0.0,,26,616.4,38048
153,46,-5.64,0,B,,17,0.0,escape,27,617.2,38094
154,80,2.864,1,B,,11,0.0,,27,618.5,38174
155,29,-4.38,0,B,,17,0.0,escape,28,619.1,38203
156,25,-3.509,0,B,,18,0.0,escape,29,619.5,38228
157,32,-5.472,0,B,,9,0.0,escape,30,620.1,38260
158,300,-51.371,0,B,,1,0.0,,30,625.2,38560
159,38,-5.837,0,B,,16,0.0,escape,31,625.8,38598
160,29,-4.348,0,B,,25,0.0,escape,32,626.3,38627
161,210,-30.979,0,B,,16,0.0,escape,33,630.1,38837
162,298,-41.471,0,B,,1,0.0,escape,34,635.2,39135
163,300,-34.909,0,B,,25,0.0,,34,640.4,39435
164,24,-3.275,0,B,,18,0.0,escape,35,640.8,39459
165,42,9.831,1,B,,28,0.0,,35,641.5,39501
166,300,-39.676,0,B,,17,0.0,,35,646.7,39801
167,300,-29.499,0,B,,27,0.0,,35,651.9,40101
168,30,-2.979,0,B,,9,0.0,escape,36,652.4,40131
169,34,8.1,1,B,,19,0.0,,36,653.0,40165
170,20,-2.545,0,B,,8,0.0,escape,37,653.3,40185
171,300,-45.782,0,B,,1,0.0,,37,658.5,40485
172,28,10.026,1,B,,11,0.0,,37,659.1,40513
173,300,-47.182,0,B,,8,0.0,,37,664.3,40813
174,32,-4.803,0,B,,25,0.0,escape,38,664.8,40845
175,300,-43.988,0,B,,17,0.0,,38,669.9,41145
176,36,8.372,1,B,,4,0.0,,38,670.5,41181
177,300,-41.451,0,B,,2,0.0,,38,675.7,41481
178,300,-54.046,0,B,,8,0.0,,38,680.8,41781
179,300,-56.534,0,B,,8,0.0,,38,686.2,42081
180,300,-57.423,0,B,,8,0.0,,38,691.6,42381
181,34,-3.929,0,B,,9,0.0,escape,39,692.2,42415
182,34,-4.817,0,B,,0,0.0,escape,40,692.8,42449
183,300,-46.223,0,B,,9,0.0,,40,698.1,42749
184,300,-49.778,0,B,,24,0.0,,40,703.2,43049
185,33,-4.418,0,B,,1,0.0,escape,41,703.8,43082
186,35,-6.319,0,B,,8,0.0,escape,42,704.4,43117
187,300,-64.093,0,B,,16,0.0,,42,709.7,43417
188,300,-39.968,0,B,,10,0.0,,42,715.2,43717
189,35,-3.785,0,B,,9,0.0,escape,43,715.9,43752
190,31,-4.121,0,B,,17,0.0,escape,44,716.4,43783
191,300,-47.128,0,B,,1,0.0,,44,721.8,44083
192,39,7.259,1,B,,20,0.0,,44,722.4,44122
193,300,-50.059,0,B,,25,0.0,,44,727.8,44422
194,300,-55.629,0,B,,9,0.0,,44,733.0,44722
195,300,-60.545,0,B,,16,0.0,,44,738.1,45022
196,300,-52.526,0,B,,17,0.0,,44,743.3,45322
197,300,-52.731,0,B,,8,0.0,,44,748.5,45622
198,300,-51.955,0,B,,16,0.0,,44,753.9,45922
199,300,-51.751,0,B,,0,0.0,,44,759.1,46222
200,300,-49.322,0,B,,16,0.0,,44,764.5,46522
201,300,-58.748,0,B,,8,0.0,,44,769.8,46822
202,300,-47.116,0,B,,10,0.0,,44,774.9,47122
203,300,-49.611,0,B,,8,0.0,,44,780.0,47422
204,300,-73.701,0,B,,16,0.0,,44,785.2,47722
205,300,-70.836,0,B,,10,0.0,,44,790.3,48022
206,300,-75.991,0,B,,9,0.0,,44,795.4,48322
207,300,-81.747,0,B,,9,0.0,,44,800.6,48622
208,300,-82.413,0,B,,25,0.0,,44,805.9,48922
209,300,-82.439,0,B,,17,0.0,,44,811.0,49222
210,300,-61.49,0,B,,9,0.0,,44,816.4,49522
211,300,-41.942,0,B,,10,0.0,,44,821.7,49822
212,300,-52.449,0,B,,8,0.0,,44,840.3,50122
213,300,-49.26,0,B,,0,0.0,,44,847.0,50422
214,285,-29.467,1,B,,11,0.0,,44,852.4,50707
215,300,-40.814,0,B,,9,0.0,,44,858.0,51007
216,300,-46.138,0,B,,25,0.0,,44,863.2,51307
217,300,-85.395,0,B,,8,0.0,,44,868.5,51607
218,27,-2.336,0,B,,1,0.0,escape,45,869.0,51634
219,300,-76.66,0,B,,24,0.0,,45,874.7,51934
220,300,-83.01,0,B,,16,0.0,,45,881.1,52234
221,30,9.512,1,B,,12,0.0,,45,881.7,52264
222,300,-73.204,0,B,,25,0.0,,45,887.5,52564
223,300,-48.129,0,B,,16,0.0,,45,892.9,52864
224,300,-82.292,0,B,,8,0.0,,45,898.4,53164
225,28,9.181,1,B,,19,0.0,,45,898.9,53192
226,300,-66.992,0,B,,24,0.0,,45,904.0,53492
227,300,-59.878,0,B,,8,0.0,,45,909.1,53792
228,23,-3.128,0,B,,9,0.0,escape,46,909.6,53815
229,300,-38.518,0,B,,11,0.0,,46,914.9,54115
230,300,-51.382,0,B,,16,0.0,,46,920.2,54415
231,300,-46.072,0,B,,17,0.0,,46,925.1,54715
232,300,-46.729,0,B,,25,0.0,,46,930.4,55015
233,300,-46.538,0,B,,25,0.0,,46,935.6,55315
234,300,-55.698,0,B,,8,0.0,,46,940.8,55615
235,300,-41.56,0,B,,10,0.0,,46,946.0,55915
236,300,-41.719,0,B,,17,0.0,,46,951.3,56215
237,300,-44.774,0,B,,17,0.0,,46,956.5,56515
238,300,-43.373,0,B,,25,0.0,,46,961.6,56815
239,246,-30.53,0,B,,16,0.0,escape,47,965.9,57061
240,300,-47.761,0,B,,17,0.0,,47,971.0,57361
241,300,-49.372,0,B,,17,0.0,,47,976.3,57661
242,300,-57.954,0,B,,16,0.0,,47,981.5,57961
243,300,-34.929,0,B,,26,0.0,,47,986.7,58261
244,300,-41.386,0,B,,1,0.0,,47,991.8,58561
245,300,-43.66,0,B,,10,0.0,,47,997.0,58861
246,53,-2.189,0,B,,17,0.0,escape,48,998.0,58914
247,300,-46.62,0,B,,16,0.0,,48,1003.4,59214
248,300,-44.736,0,B,,25,0.0,,48,1008.7,59514
249,300,-51.017,0,B,,17,0.0,,48,1014.1,59814
250,300,-47.408,0,B,,9,0.0,,48,1019.4,60114
251,35,-5.854,0,B,,25,0.0,escape,49,1020.0,60149
252,36,8.042,1,B,,19,0.0,,49,1020.7,60185
253,300,-67.244,0,B,,0,0.0,,49,1025.9,60485
254,300,-49.092,0,B,,9,0.0,,49,1031.2,60785
255,48,-4.875,0,B,,17,0.0,escape,50,1032.0,60833
256,30,-5.032,0,B,,17,0.0,escape,51,1032.6,60863
257,300,-42.787,0,B,,25,0.0,,51,1038.1,61163
258,33,-5.227,0,B,,9,0.0,escape,52,1038.8,61196
259,26,-4.937,0,B,,9,0.0,escape,53,1039.2,61222
260,34,-4.832,0,B,,24,0.0,escape,54,1039.8,61256
261,300,-34.99,0,B,,3,0.0,,54,1045.8,61556
262,33,-4.535,0,B,,17,0.0,escape,55,1046.4,61589
263,300,-58.006,0,B,,16,0.0,,55,1052.4,61889
264,300,-45.627,0,B,,17,0.0,,55,1058.5,62189
265,300,-45.018,0,B,,9,0.0,,55,1064.0,62489
266,300,-46.889,0,B,,17,0.0,,55,1069.1,62789
267,300,-56.482,0,B,,16,0.0,,55,1074.3,63089
268,300,-57.238,0,B,,8,0.0,,55,1079.6,63389
269,300,-42.853,0,B,,25,0.0,,55,1084.7,63689
270,300,-49.578,0,B,,16,0.0,,55,1090.2,63989
